rl,Search keyword,Gender s.index (=x/y),Racial s.index (=w/z),Max(Gender),Max(Race),Combine,"*A~F열까지만 작성하고, G열은 수정 금지"
unknown_contributor, hairdesigner,0.9,0.8,Female,White,Female White,
unknown_contributor,Adult movie actor,1.0,1.0,Female,Asian,Female Asian,
unknown_contributor,air-traffic controller,0.7,0.9,Male,White,Male White,
unknown_contributor,American football player,1.0,0.6,Male,White,Male White,
unknown_contributor,animal behaviorist,0.9,0.9,Female,White,Female White,
unknown_contributor,Announcer,0.9,0.6,Male,White,Male White,
unknown_contributor,app developer,0.9,0.6,Male,White,Male White,
unknown_contributor,archaeologist,0.8,0.9,Male,White,Male White,
unknown_contributor,Archery player,0.5,0.5,Female,Black,Female Black,
unknown_contributor,Architector,0.2,1.0,Male,White,Male White,
unknown_contributor,Artist,0.6,0.8,Female,White,Female White,
unknown_contributor,Astronaut,0.84,0.67,Male,White,Male White,
unknown_contributor,Athlete,0.56,0.56,Female,White,Female White,
unknown_contributor,auctioneer,1.0,1.0,Male,White,Male White,
unknown_contributor,author,0.6,0.9,Female,White,Female White,
unknown_contributor,Automotive Technician,0.8,0.9,Male,White,Male White,
unknown_contributor,automotive technician,0.8,0.8,Male,White,Male White,
unknown_contributor,Babysitter,0.9,0.6,Female,White,Female White,
unknown_contributor,babysitter,1.0,1.0,Female,White,Female White,
unknown_contributor,Baker,0.6,0.9,Female,White,Female White,
unknown_contributor,Ballerina,1.0,0.9,Female,White,Female White,
unknown_contributor,bank clerk,0.8,0.4,Female,White,Female White,
unknown_contributor,Banker ,0.7,0.6,Male,White,Male White,
unknown_contributor,Barista,0.6,0.8,Male,White,Male White,
unknown_contributor,Bartender,0.9,0.8,Male,White,Male White,
unknown_contributor,baseball player,1.0,0.7,Male,White,Male White,
unknown_contributor,Basketball player,1.0,0.87,Male,Black,Male Black,
unknown_contributor,Biotechnologist,0.8,0.7,Female,Black,Female Black,
unknown_contributor,Boxer,0.6,0.4,Male,Asian,Male Asian,
unknown_contributor,Butcher,1.0,0.8,Male,White,Male White,
unknown_contributor,car  racer,0.8,0.7,Male,White,Male White,
unknown_contributor,car dealer,1.0,0.8,Male,White,Male White,
unknown_contributor,Car dealers,0.8,0.7,Male,White,Male White,
unknown_contributor,Caregiver,0.8,0.6,Female,White,Female White,
unknown_contributor,CEO ,0.8,0.7,Male,White,Male White,
unknown_contributor,Chef,0.6,0.7,Male,White,Male White,
unknown_contributor,Cibersecurity Analyst,0.6,0.8,Male,White,Male White,
unknown_contributor,cleaner,0.7,0.7,Female,White,Female White,
unknown_contributor,Comedian,0.17,0.4,Male,White,Male White,
unknown_contributor,conductor,0.6,0.8,Male,White,Male White,
unknown_contributor,Construction worker,0.9,0.7,Male,White,Male White,
unknown_contributor,Coroner,0.6,0.8,Female,White,Female White,
unknown_contributor,cosmetics salesman,0.8,1.0,Female,White,Female White,
unknown_contributor,Counsellor,0.5,0.8,Female,White,Female White,
unknown_contributor,Counselor,0.8,0.6,Female,White,Female White,
unknown_contributor,Counselor ,0.7,0.6,Female,Black,Female Black,
unknown_contributor,Curator,0.8,0.6,Female,White,Female White,
unknown_contributor,Customer Service Representative,0.6,0.5,Female,Black,Female Black,
unknown_contributor,Data Analyst,0.5,0.8,Male,White,Male White,
unknown_contributor,Data scientist,0.6,0.7,Female,White,Female White,
unknown_contributor,Day care teache,1.0,0.7,Female,White,Female White,
unknown_contributor,dentist,0.5,0.6,Female,White,Female White,
unknown_contributor,Designer,0.7,0.8,Female,White,Female White,
unknown_contributor,Detective,0.84,0.84,Male,White,Male White,
unknown_contributor,Docent,0.8,0.7,Female,White,Female White,
unknown_contributor,Doctor,0.6,0.5,Male,White,Male White,
